FECHA;ADDRESS;CANTIDAD BUSD
2021-11-17;0xea0a2bcff5dfb5b9b545474fb160520255be4012;16000
2021-11-17;0x07aacbeaaf2dd1f1b735041c0ad628af2f084dfa;16000
2021-11-17;0x5d42739ec341fecb271c4f35f652137c86e65696;309
2021-11-17;0x527818e450483bdbb2aa6a4e6ad7cef69bd77140;309
2021-11-17;0x7439d7e7aa48f3d312548f574aa7293dc58e230d;5159
2021-11-17;0xf21cf11b0109ffabe6ef44d3cdbb9cfa52d3289b;250
2021-11-17;0xecc9ebf62f32d881f3711e51a04501b69bb0b662;1350
2021-11-17;0x83ab8420956e4c1df7de2706339e401f385e34e1;158
2021-11-17;0xcaeb246e8060194b25518e37a006b1e4a64a2ba5;400
2021-11-17;0x16fffc43a38e1949ad3bf6bbe91569c61747614a;1600
2021-11-17;0xeaae4d3b267c38dd68436470e7a5864b6b0910fb;200
2021-11-17;0xf599631217257be63c45ed53e95be26d85a09b04;564
2021-11-17;0xeb1432d117ce826fd557649c6d2489683d6c38e9;338
2021-11-17;0xb7ac5eb696b32de76699d22bc02a7826bb3e946d;450
2021-11-17;0x9bf02875b779bba0ae84ae45d6e71dba237b2e87;329
2021-11-17;0x29f52acfc64d7c3408ba7531db23cad1f67c6939;171
2021-11-17;0xd858a91ce7f37d5da9fea1aed961de668d5c790f;700
2021-11-17;0x319df4246ffe99a65a8d2e9a20a2b2dd0a34c513;100
2021-11-17;0xfc39223156c9e5a5f38dd0c60de44f36d6e92c12;135
2021-11-17;0xf8b9e3881658aa8f86071fd55b46846a35cfe2fa;250
2021-11-17;0x84fcbd9b1830f2128e1f180cd40f3482402b6368;500
2021-11-17;0xca51bc8aa903e324677ec65d2b580db801677bb0;100
2021-11-17;0xde5258c69d41f38bb6402f0aaa23d8f210bccf69;130
2021-11-17;0x9e8cd1084d08ec7406d5b3ae5bf3c3e0a956a0f7;10170
2021-11-17;0xdffdad62bc8e7f671643ef89a21d963d7712b246;788
2021-11-17;0x1404035bedd9e836335bb7f0916654d7569c0208;1102
2021-11-17;0xe83e5bdb19627d587de65bd54c7b3c9f5186db27;114
2021-11-17;0x79b13ebd1af082164baf4531f909517be771f2b2;100
2021-11-17;0x0eefa9542ced95f771ff0a4e88fd1664bb0d5324;800
2021-11-17;0x6d64b1b6dc6e66f181393b54937aed0fbf2934ef;12000
2021-11-17;0x72783a5b4ed2a37df55a719c472f1aed1c2e621d;1020
2021-11-17;0x533555010cb1a3611e7b6d0c36d58c2f34a2baa1;106
2021-11-17;0x676d81c2f882ce783ad5d4f618c60ebcef9519db;250
2021-11-17;0x11fb0348df75c7da1d5dfc6a85074a078e287fd2;994
2021-11-17;0x18100383ac844cfbc05232f70c9e97ab13a786c3;274
2021-11-17;0x8d2898a253bf023b28b20966436436519a7d8f90;169
2021-11-17;0xfc2d658c13988a72801dd6f6aede99235c2babfa;103
2021-11-17;0x43836542954db5a4cea4eeb3a6287344900945a4;500
2021-11-17;0x4851f8f88502201c38f42471451fd5d446aaf0bc;227
2021-11-17;0x50fa381581e369d02b756c5530ae9a127559f01a;216
2021-11-17;0xb7ac5eb696b32de76699d22bc02a7826bb3e946d;500
2021-11-17;0xfcf82ad436a01d62f3bf8c42c3f859e459b45640;177
2021-11-17;0x7412104e4ca23cbf7cee3dca2e0ed420775d2ec2;200
2021-11-17;0x2ff31cb0cf1ddc5d097603f2ad6c22a75fb9c4d6;350
2021-11-17;0x4289d60bdce7080fc2063ce34aa750210b8cb910;573
2021-11-17;0x0fa89f51ec212b5fd1d12dd91eb0fc001d8e50ac;100
2021-11-17;0x04a3fc3947fe71154774d742ebfa0347f47fc282;119
2021-11-17;0xde9168bd4ebf74d29ab0512e8d3c0e73d5756749;800
2021-11-17;0x60c90691adb7d843d9aa1225b499a6a35648f1dc;200
2021-11-17;0xe039ff687e99b627afc7554e7613c36ca850ce84;516
2021-11-17;0x0e40b47a1f137cfaec71fc624c5583eb9b725823;105
2021-11-17;0x971d680858239c9b69e8dbf11d6e9e57c1bf350f;102
2021-11-17;0xe45e6aff56f57ff29f0427acefb7fea82625a669;540
2021-11-17;0x407533e4938f840ee58fded0a55479fbd2e88f55;208
2021-11-17;0x1b3d4b163cf5a1e050a7126df2d451db2bbe125d;472
2021-11-17;0x486c14eb19dedec133e84a13517296fd1d359548;200
2021-11-17;0xec37dfc01b3be2fa772335c25ba84fd9bd052d7d;428
2021-11-17;0xa98593cb43a2c8c70bb973e89d3dd5f9455bdd8f;530
2021-11-17;0x128a10fb585139d1f120a3a9ad785a3f9fe88ba8;301
2021-11-17;0xde51d865255c75abfbf40d651e09098748ae88ab;567
2021-11-17;0xe618d6d292e6dd1f78ac0dc5d1899c1360ebd442;400
2021-11-17;0x5f14d359797b96925cac5e16618da1028532e603;286
2021-11-17;0x114727171687278bc73e59162f86b6c5870bc2af;1339
2021-11-17;0xe2303512e18d9844f3fe2235dddac7ef47ecd09f;375
2021-11-17;0x254d107602f6c8ecd48aa6b1714fe8c3f06c1489;5000
2021-11-17;0x3c83530270548d5f5ff202c88ffaa1e6db04d37f;103
2021-11-17;0xa98593cb43a2c8c70bb973e89d3dd5f9455bdd8f;150
2021-11-17;0x86ece3820f4f007a6e38bf104b8d829cc88d32a4;1500
2021-11-17;0x114727171687278bc73e59162f86b6c5870bc2af;554
2021-11-17;0x975011530f07b8fb0173647b286bac3cbaa8c803;1227
2021-11-17;0xa40ed9f71a23f6337ee6c385472c97d949bb0c9f;543
